clade_name	ERR4623366	ERR4623051	ERR4622866	ERR4623354	ERR4622962	ERR4623508	ERR4623367	ERR4622772	ERR4623425	ERR4623371	ERR4623363	ERR4623062	ERR4622884	ERR4622795	ERR4622950	ERR4622788	ERR4623205	ERR4623393	ERR4623407	ERR4623441	ERR4623506	ERR4623429	ERR4623170	ERR4623300	ERR4623150	ERR4623430	ERR4622949	ERR4622979	ERR4622881	ERR4623364	ERR4622869	ERR4622740	ERR4623269	ERR4623147	ERR4623456	ERR4623385	ERR4623195	ERR4622989	ERR4623511	ERR4622941	ERR4623444	ERR4623176	ERR4623330	ERR4623433	ERR4623507	ERR4623089	ERR4623022	ERR4623437	ERR4623047	ERR4623332	ERR4622750	ERR4623392	ERR4622859	ERR4622746	ERR4622731	ERR4622756	ERR4622801	ERR4623344	ERR4623369	ERR4623213	ERR4623091	ERR4622823	ERR4623164	ERR4623402	ERR4623275	ERR4623251	ERR4623431	ERR4623299	ERR4622956	ERR4622920	ERR4622995	ERR4622825	ERR4623064	ERR4623357	ERR4622767	ERR4623005	ERR4622919	ERR4623146	ERR4623191	ERR4622928	ERR4622877	ERR4623458	ERR4622827	ERR4622899	ERR4623451	ERR4623519	ERR4622763	ERR4622965	ERR4622835	ERR4622952	ERR4623336	ERR4623360	ERR4623050	ERR4623361	ERR4623503	ERR4622961	ERR4623303	ERR4622978	ERR4622757	ERR4622733	ERR4623472	ERR4622783	ERR4622963	ERR4623163	ERR4623086	ERR4622805	ERR4622722	ERR4623462	ERR4622768	ERR4622745	ERR4622863	ERR4623069	ERR4623136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432	0.26432
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774	0.263774
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_aerogenes	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831	0.267831
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_grimontii	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232	0.273232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652	0.269652
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192	0.276192
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029	0.265029
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536	0.263536
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017	0.266017
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344	0.272344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_cryocrescens	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791	0.269791
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955	0.273955
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468	0.27468
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_planticola	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664	0.267664
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_terrigena	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128	0.270128
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	0.272356	0.272356	0.272356	0.272357	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272357	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356	0.272356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405	0.273405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731	0.273731
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354	0.274354
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568	0.276568
